"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.765150859E0,-6.384788513E0,5.303759575E-1,5.790174484E0,8.635562725E0
4.785072714E0,-5.921648979E0,2.767717361E0,3.641231060E0,7.482295748E0
4.804990866E0,-5.937398911E0,1.567805290E0,2.513844013E0,6.635520400E0
4.824899436E0,-5.513152599E0,-4.268006325E0,2.701421976E0,7.477192673E0
4.844823407E0,6.701473713E0,-1.844470978E1,-3.656061888E-1,1.962780519E1
4.864740461E0,4.038387299E1,-2.684819031E1,9.832476616E0,4.948090659E1
4.884649763E0,3.195063782E1,-1.756550980E1,2.058675194E1,4.187128786E1
4.904566817E0,1.929901314E1,-7.656725883E0,-1.562829375E0,2.082113818E1
4.924491419E0,2.592113972E0,-3.871774673E0,-8.969416618E0,1.010742937E1
4.944407597E0,-5.829994202E0,-2.408902168E0,-5.574739933E0,8.418394584E0
4.964325669E0,-5.870301247E0,1.789544106E0,-4.956398487E0,7.888522726E0
4.984233242E0,-3.927888155E0,7.771876335E0,-7.395625591E0,1.142478206E1
5.004159796E0,-3.445684910E0,1.342425156E1,-1.208237839E1,1.838660224E1
5.024077460E0,-1.828728557E0,1.561219406E1,-1.789406586E1,2.381769184E1
5.043985216E0,-5.916954041E0,1.475735664E1,-1.663201141E1,2.300899224E1
5.063907031E0,-7.683617592E0,1.391192150E1,-1.056316090E1,1.908297428E1
5.083828316E0,-5.051971436E0,1.317005634E1,-3.225696564E0,1.446989695E1
5.103745431E0,1.619037056E1,1.706327248E1,4.922267151E1,5.455414519E1
5.123662362E0,1.165864754E1,2.449345589E0,2.696557999E1,2.947992300E1
5.143572214E0,2.936988592E0,3.073469639E0,-1.645930099E1,1.699943254E1
5.163496653E0,1.787443638E0,4.667031765E0,-1.764476395E1,1.833886133E1
5.183413503E0,1.431115913E1,-2.000197411E0,-1.947969055E1,2.425424518E1
5.203329947E0,7.931929588E0,-1.821098328E0,-1.534888077E1,1.737296886E1
5.223240185E0,2.965717793E0,-4.499138832E0,-7.889370918E0,9.554051797E0
5.243164502E0,1.093350983E1,-1.937836266E1,-8.011423111E0,2.364837154E1
5.263071139E0,1.615459633E1,-3.367966461E1,2.871303558E0,3.746378485E1
5.282998528E0,6.484148502E0,-2.114900398E1,3.366991043E1,4.028631802E1
5.302915907E0,-1.439005852E0,-1.043163109E1,1.080319405E1,1.508637354E1
5.322831923E0,-1.364233017E0,-3.901415348E0,1.848629761E1,1.894268652E1
5.342749648E0,-1.638152122E0,3.411218166E0,1.594473839E1,1.638763662E1
5.362666722E0,1.351057053E0,8.222126961E0,1.115524864E1,1.392365969E1
5.382576065E0,-1.966312647E0,6.511593342E0,1.878183746E1,1.997560141E1
5.402500891E0,-8.937464714E0,-3.245100975E-1,1.922027397E1,2.119911587E1
5.422417721E0,-1.178628159E1,-2.569993496E0,1.054649734E1,1.602341744E1
5.442334774E0,-9.011296272E0,-8.681073189E-1,6.424022675E0,1.110068188E1
5.462247434E0,-6.646035194E0,1.779643059E0,4.438782215E0,8.187777524E0
5.482169187E0,-6.453988552E0,1.424307346E0,2.308530807E0,7.000852386E0
5.502091063E0,-5.285919189E0,-3.597304344E0,3.185945272E0,7.143653652E0
5.521995340E0,2.400329590E0,-1.353840637E1,4.229295254E-1,1.375604953E1
5.541924926E0,3.601160431E1,-2.422385025E1,3.174972296E0,4.351679003E1
5.561836181E0,3.632802963E1,-1.650029182E1,2.451457787E1,4.682894292E1
5.581752258E0,2.459058189E1,-8.398304939E0,1.216610193E0,2.601361920E1
5.601662639E0,6.557576180E0,-5.823225021E0,-8.256109238E0,1.204471231E1
5.621583741E0,-4.518913746E0,-4.016263962E0,-4.897494316E0,7.780514651E0
5.641504315E0,-7.202809334E0,-1.098904610E0,-3.864299297E0,8.247476141E0
5.661421409E0,-4.255825520E0,4.884182453E0,-6.775373459E0,9.374058598E0
5.681338341E0,-3.874449730E0,1.030264854E1,-9.067624092E0,1.426105657E1
5.701255598E0,-3.378139973E0,1.447753334E1,-1.433129215E1,2.064937617E1
5.721173059E0,-4.608649254E0,1.529931259E1,-1.829247093E1,2.428833272E1
5.741089461E0,-7.731279373E0,1.390808487E1,-1.537632370E1,2.212778425E1
5.761007878E0,-7.799837589E0,1.282381248E1,-8.069142342E0,1.704108832E1
5.780918035E0,-4.079503536E0,1.251195908E1,5.645813346E-1,1.317232785E1
5.800840582E0,2.209059143E1,1.173200226E1,5.039396667E1,5.625998564E1
5.820757472E0,1.165081596E1,-8.106203079E-1,1.228128624E1,1.694782020E1
5.840673936E0,1.348532200E0,3.411052704E0,-1.978667831E1,2.012377843E1
5.860591682E0,1.105056381E1,-5.090417862E-1,-2.233683014E1,2.492605193E1
5.880508695E0,7.802266598E0,-2.867321014E0,-2.045962524E1,2.208377592E1
5.900425057E0,3.452873230E-1,-2.898650169E0,-1.308597279E1,1.340761276E1
5.920334969E0,5.420515537E0,-9.419360161E0,-3.974730968E0,1.157172506E1
5.940258004E0,1.713239479E1,-3.322126007E1,-6.426226616E0,3.792713357E1
5.960182626E0,1.390499496E1,-2.649660873E1,3.532383728E1,4.629462863E1
5.980094553E0,2.286935806E0,-1.159974098E1,1.444568825E1,1.866713623E1
6.000012258E0,1.679840088E-1,-7.430074215E0,1.319939995E1,1.514788370E1
6.019922028E0,-1.422742605E0,9.206042290E-1,1.910867310E1,1.918366743E1
6.039844839E0,1.210289001E-1,7.165074348E0,1.123004150E1,1.332166546E1
6.059761934E0,-8.988475800E-2,7.921541691E0,1.751132393E1,1.921992112E1
6.079670911E0,-7.317572117E0,1.582157135E0,1.829957771E1,1.977181396E1
6.099581210E0,-1.231555653E1,-2.260594368E0,9.639421463E0,1.580195132E1
6.119498711E0,-1.158571434E1,-1.330136299E0,7.347343445E0,1.378337749E1
6.139415480E0,-8.487610817E0,1.318804264E0,5.740824223E0,1.033130412E1
6.159339472E0,-7.406465530E0,2.679594517E0,3.394430637E0,8.576602928E0
6.179256403E0,-5.924690247E0,-1.071977615E-1,3.306756973E0,6.785874119E0
6.199181351E0,-3.395998716E0,-7.540128708E0,3.138070583E0,8.844989271E0
6.219098587E0,2.148715591E1,-2.666308975E1,4.833117962E0,3.458290407E1
6.239015234E0,4.444142151E1,-2.448762321E1,2.061107063E1,5.476769001E1
6.258933122E0,2.803396988E1,-1.394566822E1,5.682989597E0,3.182265702E1
6.278845679E0,1.264772034E1,-7.034465790E0,-7.140165329E0,1.613785920E1
6.298764890E0,-3.954095840E-1,-2.938468933E0,-5.067022324E0,5.870746429E0
6.318683856E0,-7.575078487E0,-8.474817276E-1,-4.094155312E0,8.652291435E0
6.338600930E0,-4.515687943E0,3.959971428E0,-6.504001617E0,8.852957040E0
6.358517353E0,-2.442079544E0,9.287261963E0,-9.251421928E0,1.333438394E1
6.378435017E0,-3.797209740E0,1.442869473E1,-1.433398247E1,2.068983051E1
6.398352092E0,-4.831239223E0,1.619134712E1,-2.058384705E1,2.663072198E1
6.418269818E0,-7.915150642E0,1.562553787E1,-1.847530365E1,2.545867020E1
